1;Dueno;Dueno;Domicilio [calle=calle, altura=1, piso=1, depto=a];00000000;CLIENTE;;true
0;Dueno;Dueno;Domicilio [calle=calle, altura=1, piso=1, depto=a];00000000;PROVEEDOR;;true
2;Nombre_2;Apellido_2;Domicilio [calle=Calle_16, altura=4960, piso=9, depto=V];77706595;CLIENTE;persona2@example.com;true
3;Nombre_3;Apellido_3;Domicilio [calle=Calle_5, altura=3628, piso=8, depto=V];33990168;PROVEEDOR;persona3@example.com;false
4;Nombre_4;Apellido_4;Domicilio [calle=Calle_56, altura=3333, piso=9, depto=C];82014568;CLIENTE;persona4@example.com;false
5;Nombre_5;Apellido_5;Domicilio [calle=Calle_67, altura=2691, piso=9, depto=M];84411669;PROVEEDOR;persona5@example.com;false
6;Nombre_6;Apellido_6;Domicilio [calle=Calle_23, altura=4010, piso=4, depto=N];52553008;PROVEEDOR;persona6@example.com;false
7;Nombre_7;Apellido_7;Domicilio [calle=Calle_83, altura=1449, piso=7, depto=S];33809810;CLIENTE;persona7@example.com;false
8;Nombre_8;Apellido_8;Domicilio [calle=Calle_25, altura=3656, piso=7, depto=B];50878757;PROVEEDOR;persona8@example.com;true
9;Nombre_9;Apellido_9;Domicilio [calle=Calle_56, altura=383, piso=6, depto=M];93102389;CLIENTE;persona9@example.com;true
10;Nombre_10;Apellido_10;Domicilio [calle=Calle_24, altura=1528, piso=10, depto=Y];96230159;PROVEEDOR;persona10@example.com;true
11;Nombre_11;Apellido_11;Domicilio [calle=Calle_77, altura=4334, piso=3, depto=S];41082164;PROVEEDOR;persona11@example.com;true
12;Nombre_12;Apellido_12;Domicilio [calle=Calle_55, altura=1677, piso=7, depto=C];54334795;PROVEEDOR;persona12@example.com;false
13;Nombre_13;Apellido_13;Domicilio [calle=Calle_45, altura=3011, piso=7, depto=M];86264868;CLIENTE;persona13@example.com;false
14;Nombre_14;Apellido_14;Domicilio [calle=Calle_89, altura=3076, piso=8, depto=X];24690788;CLIENTE;persona14@example.com;false
15;Nombre_15;Apellido_15;Domicilio [calle=Calle_26, altura=1917, piso=7, depto=F];10118493;CLIENTE;persona15@example.com;true
16;Nombre_16;Apellido_16;Domicilio [calle=Calle_46, altura=58, piso=3, depto=I];49825336;PROVEEDOR;persona16@example.com;true
17;Nombre_17;Apellido_17;Domicilio [calle=Calle_78, altura=1900, piso=5, depto=U];55330546;CLIENTE;persona17@example.com;false
18;Nombre_18;Apellido_18;Domicilio [calle=Calle_74, altura=518, piso=5, depto=S];85325654;PROVEEDOR;persona18@example.com;false
19;Nombre_19;Apellido_19;Domicilio [calle=Calle_2, altura=847, piso=6, depto=T];36303204;PROVEEDOR;persona19@example.com;false
20;Nombre_20;Apellido_20;Domicilio [calle=Calle_83, altura=3290, piso=7, depto=Z];93733092;CLIENTE;persona20@example.com;true
21;Nombre_21;Apellido_21;Domicilio [calle=Calle_38, altura=2722, piso=5, depto=Z];96434767;CLIENTE;persona21@example.com;false
22;Nombre_22;Apellido_22;Domicilio [calle=Calle_29, altura=3566, piso=10, depto=E];20238808;PROVEEDOR;persona22@example.com;false
23;Nombre_23;Apellido_23;Domicilio [calle=Calle_92, altura=2534, piso=4, depto=C];45677325;CLIENTE;persona23@example.com;true
24;Nombre_24;Apellido_24;Domicilio [calle=Calle_66, altura=2117, piso=4, depto=A];91593139;PROVEEDOR;persona24@example.com;false
