2500;1;Persona0;Apellido0;Domicilio [calle=Calle0, altura=842, piso=5, depto=A];52090221;CLIENTE;nn@gmail.com;true
2500;2;Persona1;Apellido1;Domicilio [calle=Calle1, altura=158, piso=3, depto=A];44918795;PROVEEDOR;nn@gmail.com;true
2500;3;Persona2;Apellido2;Domicilio [calle=Calle2, altura=966, piso=6, depto=A];33388623;CLIENTE;nn@gmail.com;true
2500;4;Persona3;Apellido3;Domicilio [calle=Calle3, altura=163, piso=5, depto=A];51292146;PROVEEDOR;nn@gmail.com;true
2500;5;Persona4;Apellido4;Domicilio [calle=Calle4, altura=487, piso=6, depto=A];23485438;CLIENTE;nn@gmail.com;true
2500;6;Persona5;Apellido5;Domicilio [calle=Calle5, altura=225, piso=2, depto=A];49007969;PROVEEDOR;nn@gmail.com;true
2500;7;Persona6;Apellido6;Domicilio [calle=Calle6, altura=305, piso=4, depto=A];38002429;CLIENTE;nn@gmail.com;true
2500;8;Persona7;Apellido7;Domicilio [calle=Calle7, altura=308, piso=9, depto=A];52040923;PROVEEDOR;nn@gmail.com;true
2500;9;Persona8;Apellido8;Domicilio [calle=Calle8, altura=564, piso=1, depto=A];55302221;CLIENTE;nn@gmail.com;true
2500;10;Persona9;Apellido9;Domicilio [calle=Calle9, altura=142, piso=2, depto=A];23118543;PROVEEDOR;nn@gmail.com;true
2500;11;Persona10;Apellido10;Domicilio [calle=Calle10, altura=407, piso=0, depto=A];20529362;CLIENTE;nn@gmail.com;true
2500;12;Persona11;Apellido11;Domicilio [calle=Calle11, altura=368, piso=6, depto=A];33048020;PROVEEDOR;nn@gmail.com;true
2500;13;Persona12;Apellido12;Domicilio [calle=Calle12, altura=866, piso=8, depto=A];51996416;CLIENTE;nn@gmail.com;true
2500;14;Persona13;Apellido13;Domicilio [calle=Calle13, altura=696, piso=0, depto=A];50138238;PROVEEDOR;nn@gmail.com;true
2500;15;Persona14;Apellido14;Domicilio [calle=Calle14, altura=117, piso=6, depto=A];22665914;CLIENTE;nn@gmail.com;true
2500;16;Persona15;Apellido15;Domicilio [calle=Calle15, altura=245, piso=3, depto=A];37207037;PROVEEDOR;nn@gmail.com;true
2500;17;Persona16;Apellido16;Domicilio [calle=Calle16, altura=831, piso=9, depto=A];25094550;CLIENTE;nn@gmail.com;true
2500;18;Persona17;Apellido17;Domicilio [calle=Calle17, altura=885, piso=2, depto=A];24486221;PROVEEDOR;nn@gmail.com;true
2500;19;Persona18;Apellido18;Domicilio [calle=Calle18, altura=295, piso=4, depto=A];21346880;CLIENTE;nn@gmail.com;true
2500;20;Persona19;Apellido19;Domicilio [calle=Calle19, altura=131, piso=6, depto=A];50939325;PROVEEDOR;nn@gmail.com;true
2500;21;Persona20;Apellido20;Domicilio [calle=Calle20, altura=562, piso=9, depto=A];33470148;CLIENTE;nn@gmail.com;true
2500;22;Persona21;Apellido21;Domicilio [calle=Calle21, altura=649, piso=3, depto=A];50271440;PROVEEDOR;nn@gmail.com;true
2500;23;Persona22;Apellido22;Domicilio [calle=Calle22, altura=250, piso=8, depto=A];28678225;CLIENTE;nn@gmail.com;true
2500;24;Persona23;Apellido23;Domicilio [calle=Calle23, altura=825, piso=7, depto=A];52081625;PROVEEDOR;nn@gmail.com;true
2500;25;Persona24;Apellido24;Domicilio [calle=Calle24, altura=401, piso=0, depto=A];57163820;CLIENTE;nn@gmail.com;true
2500;26;Persona25;Apellido25;Domicilio [calle=Calle25, altura=672, piso=5, depto=A];49354888;PROVEEDOR;nn@gmail.com;true
2500;27;Persona26;Apellido26;Domicilio [calle=Calle26, altura=661, piso=5, depto=A];49993445;CLIENTE;nn@gmail.com;true
2500;28;Persona27;Apellido27;Domicilio [calle=Calle27, altura=100, piso=5, depto=A];23340515;PROVEEDOR;nn@gmail.com;true
2500;29;Persona28;Apellido28;Domicilio [calle=Calle28, altura=732, piso=6, depto=A];24402576;CLIENTE;nn@gmail.com;true
2500;30;Persona29;Apellido29;Domicilio [calle=Calle29, altura=841, piso=6, depto=A];23409476;PROVEEDOR;nn@gmail.com;true
